race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio,win5_rank
20260606_東京_10,pw01dud002022103594/F4,サンタアニタ,1,1,斎藤 新,53,28.3,10,東京,2026-06-06,10,芝,1400,,0,0.0,4,2.4355,35.1194,3.371,55.3226,0,10,6.629,35,0,0,2,28.3,28.3,28.3,28.3,0,0,0,10,0,0.6777,0.9828,0.7581,0.2935,0.4034,0.571,0.4218,0.45123,0.7742,0.3226,0.0353,0.0353,0.27544,0.55814,0.604005,0.407379,0.412621,0.18,0.463049,28.3,30.41852,28.302871,30.41852,structural,0.033212,30.109376,0.02782,0.740407,0.033212,outsider,0.939907,0.939907,0.939907,1.010267,0.940002,1.010267,2.11852,0.074859,0.070361,0.074859,10
20260606_東京_10,pw01dud002023100935/8A,トラスコンガーデン,7,14,江田 照男,51,28.2,9,東京,2026-06-06,10,芝,1400,,0,0.0,4,7.2258,34.1032,10,55,0,9,-1,35,0,0,2,28.2,28.2,28.2,28.2,0,0,0,9,0,0.6777,1.0169,0.4554,0.6323,0.2042,0.3533,0.4409,0.455236,1.3333,0.096,0.0355,0.0355,0.601605,0.32899,0.41337,0.407379,0.412621,0.18,0.401554,28.2,28.242049,28.200057,28.242049,structural,0.03319,30.129155,0.027918,0.740407,0.03319,outsider,0.935971,0.935971,0.935971,0.937366,0.935972,0.937366,0.042049,0.001491,0.001396,0.001491,9
20260606_東京_10,pw01dud002023103798/AE,ファムマルキーズ,6,11,小崎 綾也,52,8.9,2,東京,2026-06-06,10,芝,1400,,0,0.0,4,2.1774,34.279,1.5968,54.8226,0,2,0.4032,35,0,0,2,8.9,8.9,8.9,8.9,0,0,0,2,0,0.6777,1.1011,0.8216,0.5737,0.3789,0.6292,0.2,0.524234,0.9409,0.175,0.1124,0.1124,0.435345,0.59259,0.568715,0.407379,0.412621,0.18,0.478901,8.9,9.191785,8.900395,9.191785,structural,0.104351,9.583062,0.08846,0.380407,0.137745,favorite,0.928722,0.928722,0.928722,0.95917,0.928763,0.95917,0.291785,0.032785,0.030448,0.032785,2
20260606_東京_10,pw01dud002022104316/E7,ユキノエミリオ,1,2,木幡 初也,53,107.7,17,東京,2026-06-06,10,芝,1400,,0,0.0,4,16,34.8645,12.4516,57.1452,0,17,4.5484,35,0,0,2,107.7,107.7,107.7,107.7,0,0,0,17,0,0.6777,1.0048,0.1945,0.3785,0.4495,0.2561,0.1957,0.381565,1.3817,0.0,0.0093,0.0093,0.52795,0.3018,0.23311,0.407379,0.412621,0.18,0.307662,107.7,119.175491,107.715554,119.175491,structural,0.00795,125.791637,0.00731,0.880407,0.00795,longshot,0.856178,0.856178,0.856178,0.947404,0.856301,0.947404,11.475491,0.106551,0.091226,0.106551,17
20260606_東京_10,pw01dud002022101629/16,クレオズニードル,2,3,吉田 豊,52,97.5,16,東京,2026-06-06,10,芝,1400,,0,0.0,4,9.6452,35.4177,7.7581,53.5968,0,16,8.2419,35,0,0,2,97.5,97.5,97.5,97.5,0,0,0,16,0,0.6777,1.0574,0.9336,0.1941,0.1585,0.3085,0.4642,0.342949,0.5323,0.0621,0.0103,0.0103,0.149405,0.38852,0.676515,0.407379,0.412621,0.18,0.298218,97.5,108.105691,97.514375,108.105691,structural,0.008749,114.295559,0.008075,0.880407,0.008749,longshot,0.853052,0.853052,0.853052,0.945843,0.853177,0.945843,10.605691,0.108776,0.092792,0.108776,16
20260606_東京_10,pw01dud002019103996/07,タイキエクセロン,4,7,菊沢 一樹,54,96.7,15,東京,2026-06-06,10,芝,1400,,0,0.0,4,10.129,34.6742,11.6935,56.1452,0,15,3.3065,35,0,0,2,96.7,96.7,96.7,96.7,0,0,0,15,0,0.6777,1.0346,0.3283,0.4419,0.3424,0.2609,0.1882,0.387999,0.7151,0.0,0.0103,0.0103,0.52233,0.29883,0.288385,0.407379,0.412621,0.18,0.25645,96.7,107.37954,96.714475,107.37954,structural,0.008798,113.667115,0.008142,0.880407,0.008798,longshot,0.85073,0.85073,0.85073,0.944684,0.850857,0.944684,10.67954,0.11044,0.093955,0.11044,15
20260606_東京_10,pw01dud002022101464/B5,レイユール,4,8,嶋田 純次,51,72.4,14,東京,2026-06-06,10,芝,1400,,0,0.0,4,11.871,36.6758,10.1129,55.4677,0,14,3.8871,35,0,0,2,72.4,72.4,72.4,72.4,0,0,0,14,0,0.6777,0.9053,0.6082,0.0,0.1455,0.2729,0.1667,0.25351,1.4892,0.0621,0.0138,0.0138,0.13713,0.30174,0.406345,0.407379,0.412621,0.18,0.304278,72.4,81.069273,72.41175,81.069273,structural,0.011574,86.398449,0.010874,0.880407,0.011574,longshot,0.837978,0.837978,0.837978,0.938319,0.838114,0.938319,8.669273,0.119741,0.100341,0.119741,14
20260606_東京_10,pw01dud002020110127/02,ジョヴィアン,7,13,北村 宏司,56,67.7,13,東京,2026-06-06,10,芝,1400,,0,0.0,4,8.1774,37.0613,4.7097,58,0,13,8.2903,35,0,0,2,67.7,67.7,67.7,67.7,0,0,0,13,0,0.6777,0.8562,0.5361,0.0,0.2042,0.2696,0.2656,0.264214,0.6667,0.0,0.0148,0.0148,0.162365,0.30328,0.405165,0.407379,0.412621,0.18,0.247802,67.7,75.894112,67.711106,75.894112,structural,0.012352,80.958215,0.011629,0.880407,0.012352,longshot,0.836234,0.836234,0.836234,0.937448,0.836371,0.937448,8.194112,0.121036,0.101214,0.121036,13
20260606_東京_10,pw01dud002023106925/14,クレパスキュラー,2,4,C.ルメール,55,1.8,1,東京,2026-06-06,10,芝,1400,,0,0.0,3,3.3529,35.0627,1.2745,56.1176,0,1,-0.2745,35,0,0,2,1.8,1.8,1.8,1.8,0,0,0,1,0,0.6777,0.9948,0.9608,0.3124,0.2612,0.5306,0.1444,0.419371,0.3725,0.6843,0.5556,0.5556,0.21678,0.53582,0.61094,0.407379,0.412621,0.18,0.461383,1.8,2.25876,1.800622,2.25876,structural,0.287642,3.476544,0.437388,0.380407,0.598058,favorite,0.517756,0.517756,0.517756,0.649714,0.517934,0.649714,0.45876,0.254867,0.131959,0.254867,1
20260606_東京_11,pw01dud002022103262/4B,メイショウツヨキ,8,15,横山 和生,55,26.8,8,東京,2026-06-06,11,ダート,1400,,0,0.0,4,9.8548,37.5355,6.3387,55.9516,0,8,1.6613,35,0,0,2,26.8,26.8,26.8,26.8,0,0,0,8,0,0.6777,0.8503,0.7713,0.0,0.1355,0.3025,0.1731,0.256725,0.3172,0.096,0.0373,0.0373,0.080045,0.34616,0.49647,0.437745,0.382255,0.18,0.229892,26.8,26.326592,26.799358,26.326592,structural,0.044479,22.48227,0.029628,0.580407,0.044479,contender,1.19205,1.19205,1.19205,1.170994,1.192022,1.170994,-0.473408,-0.017664,-0.021057,-0.017664,8
