race_id,bet_type,combination,odds,odds_min,odds_max,captured_at,source_cname
20260607_東京_11,sanrenpuku,1-6-10,1195.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-11,238.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-12,3194.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-13,210.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-14,41.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-15,586.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-16,111.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-17,39.4,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-8,1096.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-9,1008.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-10,3343.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-11,758.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-12,7619.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-13,799.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-14,180.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-15,1465.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-7-16,631.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
